project_key,nk_company_id,nk_project_id,nk_org_id,nk_employee_id,nk_level_number,project_type,project_name,project_long_name,billable_project_flag,active_flag,project_classification,project_end_date,project_start_date,account_group_code,time_collection_project_flag,revenue_formula_code,revenue_formula_description,bill_info_flag,project_total_value,project_level2_value,proj_link_name,proj_link_cust_id,customer_name,supervisor_id,supervisor_name,pm_id,project_manager,project_classification_type,project_linked_project_name,linked_project_contract_value,billing_currency_cd,contract_value_usd,row_is_current,Client Go Live,Complexity,Country,City,Project Status,Risk Metric
PRJ2024-709,COMP80364,PROJ9644,ORG49727,,LVL1,Software Development,Network Troubleshooting & Support,,,,Small Business,10/04/2026,23/06/2024,ACC500,SUP2100,,,,,,,,"Martin, Smith and Hull",SUP6683,Hunter Williams,PM6139,Patrick Davidson,,,,,14016,,24/04/2026,Low,Germany,Schultzshire,In Progress,Low
PRJ2023-631,COMP65570,PROJ5735,ORG39335,,LVL3,IT Infrastructure,IT Audit and Compliance,,,,Small Business,18/12/2022,19/11/2021,ACC147,SUP6762,,,,,,,,Gross-Williams,SUP2093,Erica Wright,PM2096,Timothy Crosby,,,,,15579,,03/01/2023,High,Canada,West Larryville,Completed,Medium
PRJ2027-233,COMP82702,PROJ1772,ORG89575,,LVL1,Software Development,CRM Implementation,,,,Enterprise,24/08/2023,23/10/2022,ACC983,SUP1247,,,,,,,,"Ramos, Fields and Campbell",SUP9008,Samantha Hardy,PM6796,David Garza,,,,,33779,,12/09/2023,High,Brazil,Patriciaville,In Progress,Low
PRJ2023-983,COMP55217,PROJ7223,ORG90310,,LVL2,IT Consulting,Database Migration,,,,Small Business,17/06/2026,09/02/2024,ACC117,SUP6815,,,,,,,,"Jackson, Parrish and Hanson",SUP3907,Jason Sparks,PM9290,Matthew Simmons,,,,,25354,,03/07/2026,Low,Italy,North Matthewside,In Progress,High
PRJ2023-325,COMP99317,PROJ8743,ORG77962,,LVL3,IT Infrastructure,Managed Helpdesk Services,,,,Enterprise,,09/08/2024,ACC227,SUP8664,,,,,,,,Williamson Ltd,SUP4502,Susan Simpson,PM2328,Angelica Hughes,,,,,27343,,,Low,Spain,New Steve,Completed,High
PRJ2022-765,COMP88328,PROJ1749,ORG73848,,LVL1,IT Consulting,Web Application Development,,,,Enterprise,09/09/2023,10/04/2022,ACC739,SUP1303,,,,,,,,Ashley Group,SUP7696,Margaret Bartlett,PM2720,Andre Brooks,,,,,16777,,24/09/2023,Low,Germany,Fowlermouth,Completed,Medium
PRJ2025-276,COMP32062,PROJ7457,ORG93990,,LVL1,Software Development,E-commerce Platform Integration,,,,Small Business,21/11/2025,21/07/2024,ACC626,SUP4250,,,,,,,,Roberts LLC,SUP6376,Edward Carter,PM8371,Mrs. Jenna Johnson,,,,,19889,,30/11/2025,Medium,Brazil,Derekville,Completed,High
PRJ2028-611,COMP73157,PROJ4313,ORG38399,,LVL1,IT Infrastructure,Database Migration,,,,Small Business,11/01/2025,17/10/2022,ACC497,SUP3847,,,,,,,,Levy Inc,SUP8039,Anthony Cantu,PM2017,Courtney Brown,,,,,25892,,30/01/2025,Medium,UK,Perezchester,Completed,High
PRJ2027-851,COMP30747,PROJ1607,ORG58503,,LVL2,IT Infrastructure,Data Analytics Platform Implementation,,,,Enterprise,13/12/2025,26/04/2024,ACC820,SUP6719,,,,,,,,"Rodriguez, Martin and Weber",SUP9009,Adrian Cantu,PM7320,Elizabeth Washington,,,,,29730,,13/12/2025,Medium,Brazil,Timothymouth,In Progress,Medium
PRJ2025-470,COMP52598,PROJ3923,ORG44512,,LVL1,IT Infrastructure,Web Application Development,,,,Small Business,10/07/2025,31/05/2024,ACC802,SUP4365,,,,,,,,Reynolds LLC,SUP2071,Kimberly Gordon,PM7102,Mr. Angel Lopez,,,,,21083,,23/07/2025,High,Japan,North Jeffrey,In Progress,High
PRJ2021-746,COMP70947,PROJ9613,ORG69537,,LVL3,IT Consulting,E-commerce Platform Integration,,,,Enterprise,16/10/2022,02/09/2021,ACC852,SUP8999,,,,,,,,"Bowman, Ortega and Walls",SUP4994,Maurice Shelton,PM4398,Michelle Solis,,,,,21321,,13/11/2022,Low,Australia,Perezchester,Completed,Low
PRJ2028-675,COMP26302,PROJ7455,ORG51404,,LVL1,Software Development,CRM Implementation,,,,Small Business,18/01/2022,01/07/2021,ACC669,SUP6999,,,,,,,,Yoder Group,SUP8293,Julie Hawkins,PM5880,Benjamin Mendez,,,,,16796,,18/01/2022,Medium,Canada,Amberburgh,Completed,Medium
PRJ2021-817,COMP13603,PROJ1685,ORG99871,,LVL3,IT Consulting,Managed Helpdesk Services,,,,Enterprise,,24/11/2023,ACC582,SUP1382,,,,,,,,"Potter, Cohen and Li",SUP3566,Tracy Anderson,PM9944,Monica Bell,,,,,44953,,,High,Germany,Alexandraside,In Progress,Medium
PRJ2022-825,COMP27815,PROJ6707,ORG45853,,LVL3,IT Infrastructure,Cloud Security Optimization,,,,Small Business,25/04/2024,12/09/2023,ACC651,SUP3297,,,,,,,,Montgomery-Buck,SUP6350,Kelly Sexton,PM6124,Jennifer Hale,,,,,16095,,19/05/2024,High,Brazil,West Ryanstad,Completed,High
PRJ2028-695,COMP19066,PROJ6247,ORG12163,,LVL3,IT Infrastructure,Cloud Security Optimization,,,,Small Business,23/01/2024,23/03/2023,ACC624,SUP6905,,,,,,,,Wilkerson-Wright,SUP2756,Denise Thomas,PM7216,Mrs. Sarah Ross,,,,,39550,,10/02/2024,Low,USA,North Robin,In Progress,Medium
PRJ2027-875,COMP20624,PROJ1033,ORG71340,,LVL1,Software Development,Managed Helpdesk Services,,,,Small Business,14/08/2024,27/02/2024,ACC298,SUP4732,,,,,,,,Benson-Thomas,SUP2331,Sean Ross,PM5878,David Jones,,,,,24926,,25/08/2024,Medium,Germany,Jeffreyfurt,In Progress,High
PRJ2021-709,COMP77349,PROJ8013,ORG22789,,LVL2,IT Consulting,E-commerce Platform Integration,,,,Enterprise,26/10/2025,29/12/2023,ACC301,SUP1444,,,,,,,,"Glass, Greer and Sanchez",SUP4445,Jimmy Cross,PM4229,Jennifer Lopez,,,,,38064,,21/11/2025,Medium,Canada,Lake Karen,In Progress,High
PRJ2021-420,COMP14731,PROJ6866,ORG15374,,LVL2,Software Development,Infrastructure Upgrade,,,,Small Business,,18/10/2022,ACC994,SUP4911,,,,,,,,Smith-Knight,SUP2527,Daniel Jones,PM8308,Gina Moyer,,,,,42200,,,Medium,Brazil,Duartestad,In Progress,Medium
PRJ2025-406,COMP65738,PROJ8860,ORG82047,,LVL1,Software Development,Web Application Development,,,,Small Business,,17/03/2021,ACC933,SUP7050,,,,,,,,Frost LLC,SUP1635,Vincent Williams,PM7891,Valerie Garner,,,,,16976,,,High,Italy,Port Timothyborough,In Progress,Low
PRJ2026-921,COMP92886,PROJ9531,ORG23049,,LVL2,IT Consulting,CRM Implementation,,,,Small Business,,05/09/2021,ACC906,SUP9429,,,,,,,,"Thompson, Ramos and Fernandez",SUP1425,Lisa Hill,PM9074,David Thomas,,,,,19084,,,High,Brazil,Lake Sharon,Completed,Medium
PRJ2021-508,COMP40990,PROJ2025,ORG42773,,LVL3,IT Consulting,E-commerce Platform Integration,,,,Small Business,06/03/2024,26/04/2022,ACC412,SUP5401,,,,,,,,"Cooper, Allen and Miller",SUP5007,Charles Ross,PM3458,Kathryn Graham,,,,,27728,,26/03/2024,Medium,Brazil,Deleonshire,Completed,Low
PRJ2028-438,COMP57728,PROJ8049,ORG86693,,LVL1,IT Consulting,Cloud Security Optimization,,,,Enterprise,17/03/2023,02/03/2021,ACC866,SUP8517,,,,,,,,"Kennedy, Cole and Martinez",SUP7082,Taylor Calhoun,PM4196,Sabrina Brooks,,,,,16997,,08/04/2023,High,Italy,Juarezfurt,Completed,High
PRJ2024-991,COMP60232,PROJ3761,ORG71645,,LVL1,IT Consulting,Infrastructure Upgrade,,,,Enterprise,,16/03/2024,ACC472,SUP3444,,,,,,,,Wood-Hunter,SUP8549,Janet Shea,PM9575,Christian Hughes,,,,,24121,,,Medium,Germany,Jacksonborough,In Progress,Low
PRJ2026-328,COMP37309,PROJ2147,ORG61619,,LVL2,IT Consulting,Web Application Development,,,,Small Business,05/01/2026,29/02/2024,ACC598,SUP5058,,,,,,,,Clark Inc,SUP3391,Daniel Sandoval,PM5614,Nancy Kline,,,,,45644,,03/02/2026,Low,Italy,North Juliehaven,Completed,High
PRJ2022-861,COMP44712,PROJ6807,ORG50777,,LVL2,IT Infrastructure,Database Migration,,,,Enterprise,03/11/2024,20/11/2023,ACC227,SUP1986,,,,,,,,"Martinez, Young and Dean",SUP8970,Nicole Daniel,PM3067,Douglas White,,,,,29513,,02/12/2024,Medium,Japan,Port Hannahland,Completed,Low
PRJ2027-357,COMP49821,PROJ6555,ORG27992,,LVL1,IT Infrastructure,IT Audit and Compliance,,,,Small Business,10/01/2025,22/04/2022,ACC437,SUP1544,,,,,,,,"Galloway, Bowers and Santiago",SUP5067,Raven Patton,PM4302,James Sloan,,,,,27624,,21/01/2025,Low,Canada,Cordovaview,In Progress,Medium
PRJ2026-528,COMP38377,PROJ8867,ORG99087,,LVL1,Software Development,Infrastructure Upgrade,,,,Small Business,07/12/2023,11/07/2022,ACC213,SUP9628,,,,,,,,Vincent and Sons,SUP4222,Daniel Collier,PM6751,George Price,,,,,39959,,08/12/2023,High,USA,Jonesfort,Completed,Low
PRJ2024-351,COMP82687,PROJ9743,ORG85435,,LVL1,IT Consulting,CRM Implementation,,,,Enterprise,16/09/2026,28/07/2024,ACC302,SUP2017,,,,,,,,"Pittman, Hudson and Ali",SUP5221,Madison Rose,PM4945,Angela White,,,,,39023,,14/10/2026,Medium,Canada,South Charleston,Completed,Medium
PRJ2024-868,COMP84336,PROJ1734,ORG43513,,LVL3,IT Consulting,Cloud Security Optimization,,,,Enterprise,16/06/2023,02/10/2021,ACC569,SUP3381,,,,,,,,"Hicks, Mcdaniel and Campbell",SUP1890,Leah Graham,PM5626,Tina Gutierrez,,,,,22492,,08/07/2023,High,France,Micheleside,Completed,High
PRJ2021-927,COMP98541,PROJ7857,ORG16294,,LVL3,IT Consulting,Managed Helpdesk Services,,,,Enterprise,28/04/2026,11/12/2024,ACC762,SUP9222,,,,,,,,"Roberts, Lambert and Moore",SUP7182,Joyce Wright,PM7805,Mary Flores,,,,,15729,,15/05/2026,Low,Japan,West Krystalstad,In Progress,Low
PRJ2025-152,COMP96365,PROJ5848,ORG77425,,LVL2,Software Development,Infrastructure Upgrade,,,,Small Business,01/04/2026,15/09/2024,ACC252,SUP7322,,,,,,,,Wells-Hart,SUP2642,Sharon Wagner,PM8536,Christine Fisher,,,,,11831,,22/04/2026,Medium,Germany,Nicoleview,In Progress,Low
PRJ2024-698,COMP36955,PROJ5693,ORG94721,,LVL2,Software Development,Mobile App Development,,,,Small Business,16/12/2024,29/08/2024,ACC585,SUP9640,,,,,,,,Reynolds Inc,SUP8693,Monique Kane,PM4367,Bonnie Montgomery,,,,,11644,,27/12/2024,High,Spain,Moonmouth,Completed,Medium
PRJ2028-954,COMP84110,PROJ6272,ORG26963,,LVL1,IT Infrastructure,Cloud Security Optimization,,,,Small Business,11/08/2024,07/02/2022,ACC851,SUP4930,,,,,,,,"Howell, Luna and Peterson",SUP6014,Melissa Mueller,PM7192,Thomas Cooper,,,,,36065,,15/08/2024,Low,Italy,Jodiberg,Completed,Medium
PRJ2022-205,COMP39092,PROJ8103,ORG14118,,LVL2,Software Development,IT Audit and Compliance,,,,Enterprise,,06/05/2024,ACC980,SUP3714,,,,,,,,Thomas LLC,SUP6087,Brad Allen,PM5672,Ms. Breanna Johnson,,,,,11279,,,Low,USA,Bryanstad,Completed,High
PRJ2021-554,COMP75739,PROJ8424,ORG28747,,LVL2,IT Infrastructure,Web Application Development,,,,Small Business,26/12/2022,27/10/2022,ACC404,SUP4455,,,,,,,,Burns PLC,SUP3119,Andrea Ochoa,PM4006,Amy Bailey,,,,,49347,,05/01/2023,Low,UK,Thomastown,In Progress,Low
PRJ2024-810,COMP57939,PROJ7562,ORG32335,,LVL3,IT Infrastructure,Managed Helpdesk Services,,,,Enterprise,07/01/2025,25/12/2022,ACC302,SUP5120,,,,,,,,Conway-Stevens,SUP5641,Nathaniel Shannon,PM7725,Mark Little,,,,,21313,,31/01/2025,Low,Italy,New Sean,Completed,Low
PRJ2026-339,COMP67486,PROJ4767,ORG62188,,LVL3,IT Consulting,IT Audit and Compliance,,,,Small Business,20/09/2026,12/08/2024,ACC457,SUP4515,,,,,,,,Guerra Inc,SUP7538,Daniel Perez,PM9087,Mallory Palmer,,,,,24149,,17/10/2026,Medium,France,North Annashire,Completed,Low
PRJ2024-976,COMP16591,PROJ7551,ORG54703,,LVL3,IT Consulting,E-commerce Platform Integration,,,,Small Business,19/07/2025,07/12/2024,ACC580,SUP5556,,,,,,,,Barnett-Cooley,SUP2093,Andrew Fletcher,PM8096,Sara Ortiz,,,,,23405,,07/08/2025,Medium,Japan,Port Kimberly,Completed,Medium
PRJ2026-851,COMP25790,PROJ6873,ORG85245,,LVL3,IT Consulting,Web Application Development,,,,Small Business,06/02/2025,02/07/2022,ACC227,SUP7493,,,,,,,,Carlson Inc,SUP2190,Elizabeth Young,PM7944,Dawn Martin,,,,,42764,,25/02/2025,High,Japan,Williamtown,In Progress,High
PRJ2023-711,COMP66553,PROJ1598,ORG70781,,LVL1,Software Development,E-commerce Platform Integration,,,,Small Business,15/05/2025,21/10/2024,ACC717,SUP7987,,,,,,,,Booth-Kent,SUP8246,Alyssa Lopez,PM2762,James Perez,,,,,48917,,13/06/2025,Medium,Spain,North Donnastad,In Progress,Low
PRJ2021-109,COMP81694,PROJ8823,ORG73454,,LVL1,IT Infrastructure,Web Application Development,,,,Enterprise,,06/10/2024,ACC696,SUP3070,,,,,,,,Wilson Ltd,SUP3155,Justin Barber,PM2998,Dr. Drew Johnson,,,,,48009,,,Medium,USA,South Valeriemouth,Completed,Medium
PRJ2028-578,COMP78853,PROJ8280,ORG15363,,LVL3,IT Consulting,Mobile App Development,,,,Small Business,11/05/2025,12/04/2024,ACC770,SUP6815,,,,,,,,"Collier, Roman and Sanchez",SUP4590,Jonathan Vincent,PM5905,Jason Duncan,,,,,38097,,01/06/2025,Low,UK,East Rachel,In Progress,High
PRJ2021-303,COMP73579,PROJ7288,ORG43344,,LVL2,IT Infrastructure,E-commerce Platform Integration,,,,Small Business,25/04/2024,08/10/2023,ACC853,SUP9075,,,,,,,,Park-Browning,SUP4159,Sean Clark,PM7063,Colin Moreno,,,,,17873,,22/05/2024,Low,Spain,Susanmouth,In Progress,Medium
PRJ2022-515,COMP49240,PROJ6758,ORG18973,,LVL3,IT Consulting,Managed Helpdesk Services,,,,Small Business,04/03/2024,29/10/2022,ACC496,SUP2398,,,,,,,,Mills-Marks,SUP9574,Jennifer Cook,PM6919,Susan Smith,,,,,43807,,21/03/2024,High,Brazil,Andersonmouth,Completed,High
PRJ2027-744,COMP89168,PROJ4713,ORG26233,,LVL2,IT Consulting,IT Audit and Compliance,,,,Small Business,22/07/2023,11/07/2022,ACC593,SUP9792,,,,,,,,Hunt-Perkins,SUP5646,Megan Torres,PM8648,Mary Holder,,,,,30139,,06/08/2023,Medium,Spain,East Michael,Completed,Low
PRJ2022-970,COMP59343,PROJ6638,ORG88027,,LVL1,IT Infrastructure,CRM Implementation,,,,Small Business,22/09/2023,15/04/2023,ACC307,SUP7382,,,,,,,,Berger-Tucker,SUP4894,Elizabeth Logan,PM6734,Dawn Wright,,,,,43096,,22/09/2023,Low,Germany,West Christine,In Progress,High
PRJ2023-100,COMP91988,PROJ4267,ORG72699,,LVL3,IT Consulting,Data Analytics Platform Implementation,,,,Small Business,,14/02/2024,ACC631,SUP5266,,,,,,,,Villegas and Sons,SUP6429,Alex Morris,PM5202,Lori Taylor,,,,,43044,,,High,UK,Morenoland,Completed,High
PRJ2028-457,COMP48682,PROJ7363,ORG54323,,LVL3,IT Consulting,Cloud Security Optimization,,,,Small Business,,24/02/2021,ACC774,SUP6727,,,,,,,,"Goodwin, Johnson and Gonzales",SUP9810,Alyssa Mitchell,PM4415,Christina Sandoval,,,,,43886,,,High,Japan,Jonesshire,Completed,High
PRJ2021-754,COMP39958,PROJ7322,ORG77873,,LVL3,Software Development,IT Audit and Compliance,,,,Enterprise,23/06/2024,15/02/2023,ACC715,SUP5664,,,,,,,,Walker Group,SUP9325,Daniel Carter,PM3914,Melissa Baker,,,,,47613,,13/07/2024,Medium,Germany,Joycetown,Completed,High
PRJ2028-370,COMP30586,PROJ6720,ORG22066,,LVL1,IT Consulting,Database Migration,,,,Small Business,22/09/2022,17/06/2021,ACC472,SUP9497,,,,,,,,Esparza-Flowers,SUP3151,Janet Bernard,PM7582,Ronnie Moreno,,,,,46867,,12/10/2022,Low,USA,Simpsonview,In Progress,High
PRJ2021-885,COMP19680,PROJ2084,ORG89474,,LVL2,Software Development,Client Portal Revamp,,,,Small Business,,02/05/2021,ACC828,SUP3610,,,,,,,,Snyder-Gomez,SUP6522,Ryan Harper,PM7279,Phillip Bailey,,,,,44432,,,Low,UK,South Richardtown,In Progress,Low
PRJ2026-942,COMP56968,PROJ6853,ORG81107,,LVL2,IT Consulting,E-commerce Platform Integration,,,,Small Business,13/11/2023,01/05/2021,ACC507,SUP8737,,,,,,,,Daugherty Inc,SUP1622,Angel Brown,PM2171,Kevin Solis,,,,,17675,,15/11/2023,Medium,Germany,Andreville,In Progress,Medium
PRJ2025-994,COMP96740,PROJ2338,ORG20972,,LVL1,Software Development,E-commerce Platform Integration,,,,Enterprise,28/10/2024,06/06/2024,ACC492,SUP5995,,,,,,,,Gonzalez and Sons,SUP1282,Michelle Martinez,PM4805,Steven Butler,,,,,14113,,21/11/2024,Medium,Germany,Matthewfurt,Completed,Low
PRJ2025-746,COMP90159,PROJ5980,ORG17150,,LVL3,Software Development,Client Portal Revamp,,,,Small Business,07/04/2026,18/08/2024,ACC932,SUP4466,,,,,,,,Ross PLC,SUP1309,Kara Adams,PM6052,Mr. Juan Lowe,,,,,43878,,06/05/2026,Low,Germany,Robintown,Completed,High
PRJ2026-587,COMP63215,PROJ8676,ORG11498,,LVL1,Software Development,Database Migration,,,,Enterprise,08/05/2024,11/02/2024,ACC335,SUP7179,,,,,,,,Serrano Ltd,SUP1187,Teresa Williams,PM9826,Tabitha Patton,,,,,16423,,16/05/2024,Medium,Spain,South Stephanie,In Progress,Low
PRJ2028-148,COMP92270,PROJ4347,ORG58637,,LVL3,IT Consulting,Cloud Security Optimization,,,,Small Business,11/07/2024,12/07/2023,ACC122,SUP1327,,,,,,,,"Cooper, Hawkins and Cunningham",SUP2674,James Garcia,PM8115,Cameron Doyle,,,,,42559,,15/07/2024,Medium,France,Benjaminchester,Completed,Medium
PRJ2027-780,COMP91231,PROJ2879,ORG10743,,LVL3,IT Consulting,Web Application Development,,,,Enterprise,23/03/2023,07/10/2022,ACC245,SUP8698,,,,,,,,Nguyen-Jacobs,SUP2216,Lawrence Hinton,PM8422,Jennifer Pugh,,,,,36974,,07/04/2023,Low,Japan,Bryanhaven,In Progress,Medium
PRJ2025-934,COMP10493,PROJ5865,ORG75659,,LVL2,IT Consulting,Mobile App Development,,,,Small Business,02/08/2022,14/08/2022,ACC429,SUP8097,,,,,,,,"Russell, Washington and Wright",SUP4752,Barbara Wilson,PM6189,Stephen Suarez,,,,,41688,,15/08/2022,Low,Germany,Kevinside,In Progress,Medium
PRJ2022-389,COMP46025,PROJ1194,ORG38887,,LVL1,Software Development,CRM Implementation,,,,Small Business,14/01/2025,15/01/2023,ACC916,SUP9667,,,,,,,,"Martinez, White and Williams",SUP7265,Lisa Carpenter,PM2640,Rachel Morales,,,,,34643,,02/02/2025,Low,Canada,Romanville,In Progress,High
PRJ2024-807,COMP14471,PROJ2261,ORG74933,,LVL2,Software Development,Client Portal Revamp,,,,Small Business,20/10/2023,12/12/2021,ACC893,SUP9725,,,,,,,,Griffith-Smith,SUP3729,Tiffany Collins,PM5509,Wanda Chang,,,,,34529,,01/11/2023,Low,Canada,Mooreside,In Progress,Medium
PRJ2021-560,COMP94538,PROJ7615,ORG37686,,LVL2,IT Infrastructure,CRM Implementation,,,,Enterprise,26/05/2025,12/06/2024,ACC564,SUP3745,,,,,,,,Reed Ltd,SUP7434,Victor Ramos,PM3370,Douglas Mitchell,,,,,44001,,02/06/2025,Medium,USA,North Alexander,In Progress,Low
PRJ2025-539,COMP42092,PROJ7152,ORG54494,,LVL2,Software Development,Data Analytics Platform Implementation,,,,Small Business,24/06/2024,10/03/2023,ACC409,SUP9302,,,,,,,,"Phillips, Humphrey and Smith",SUP3141,Mitchell Jefferson,PM7063,Debbie Raymond,,,,,25408,,19/07/2024,Low,Spain,Stevensfort,Completed,Medium
PRJ2021-146,COMP75561,PROJ6441,ORG54068,,LVL1,Software Development,Database Migration,,,,Enterprise,04/09/2023,04/05/2021,ACC650,SUP3090,,,,,,,,Atkinson-Byrd,SUP6752,Carolyn Ware,PM8461,Ronald Fisher,,,,,39321,,07/09/2023,Medium,France,North Matthewton,In Progress,High
PRJ2024-786,COMP92734,PROJ2502,ORG29356,,LVL2,IT Infrastructure,CRM Implementation,,,,Enterprise,,21/10/2024,ACC724,SUP2125,,,,,,,,Austin Ltd,SUP1899,Mario Bender,PM3163,Oscar Hoffman,,,,,44142,,,High,Brazil,West David,Completed,Medium
PRJ2026-410,COMP68026,PROJ2007,ORG26187,,LVL3,IT Infrastructure,Mobile App Development,,,,Enterprise,16/07/2023,15/01/2023,ACC580,SUP1097,,,,,,,,Johnson PLC,SUP5705,Todd Ward,PM3719,Shelly Rivera,,,,,34729,,15/08/2023,High,UK,Howardport,Completed,Low
PRJ2028-580,COMP34387,PROJ5404,ORG80626,,LVL3,IT Consulting,Web Application Development,,,,Enterprise,23/02/2025,30/03/2023,ACC253,SUP5902,,,,,,,,"Morgan, Medina and Charles",SUP3543,Lauren Willis,PM5397,Erik Jordan,,,,,11369,,22/03/2025,High,UK,Kellyborough,In Progress,High
PRJ2027-642,COMP57587,PROJ5915,ORG91875,,LVL1,IT Infrastructure,Network Troubleshooting & Support,,,,Small Business,21/06/2022,20/06/2021,ACC569,SUP2268,,,,,,,,"Bailey, Bell and Elliott",SUP1965,Isabella Smith,PM2254,Sarah Johnson,,,,,36226,,23/06/2022,High,Australia,South Danashire,Completed,High
PRJ2025-524,COMP90423,PROJ4573,ORG50233,,LVL3,IT Infrastructure,CRM Implementation,,,,Small Business,19/12/2023,29/05/2023,ACC420,SUP2209,,,,,,,,Cox Ltd,SUP4337,Joshua Allen,PM3526,Andrea Reed,,,,,28994,,18/01/2024,High,Brazil,Port Travisbury,Completed,Low
PRJ2024-250,COMP52597,PROJ6702,ORG77785,,LVL1,IT Infrastructure,Mobile App Development,,,,Small Business,,09/11/2024,ACC970,SUP1075,,,,,,,,Ford Inc,SUP3584,Sonya Mcdonald,PM4919,Melissa Anderson,,,,,17025,,,Medium,Brazil,Kimberlyfurt,Completed,High
PRJ2023-913,COMP34956,PROJ3283,ORG52181,,LVL1,IT Consulting,Cloud Security Optimization,,,,Enterprise,,11/10/2021,ACC139,SUP8664,,,,,,,,"Herman, Jones and Perez",SUP4997,Anthony Gross,PM5966,Paige Noble,,,,,24426,,,Low,UK,Lake Brenda,Completed,Medium
PRJ2028-253,COMP92291,PROJ8202,ORG27434,,LVL1,Software Development,Database Migration,,,,Small Business,25/07/2023,21/07/2021,ACC584,SUP9456,,,,,,,,Taylor Group,SUP5803,Michael Lynn,PM8664,Todd Romero,,,,,35224,,10/08/2023,Medium,Australia,West Derrick,Completed,Medium
PRJ2024-455,COMP79057,PROJ8686,ORG24677,,LVL1,Software Development,Network Troubleshooting & Support,,,,Enterprise,19/06/2024,11/07/2022,ACC763,SUP2665,,,,,,,,Sharp-Miller,SUP7031,Kevin Ward,PM3819,Jasmine Gomez,,,,,15139,,14/07/2024,High,Canada,Ewinghaven,In Progress,Medium
PRJ2027-211,COMP58147,PROJ5265,ORG86709,,LVL1,IT Infrastructure,Network Troubleshooting & Support,,,,Enterprise,,23/03/2022,ACC431,SUP3687,,,,,,,,"Horton, Daniels and Nguyen",SUP1921,Andrew Nelson,PM4656,Felicia King,,,,,12533,,,High,UK,Port Jonathan,In Progress,High
PRJ2024-258,COMP76991,PROJ8143,ORG95832,,LVL1,IT Infrastructure,Database Migration,,,,Small Business,13/02/2023,11/03/2022,ACC262,SUP8003,,,,,,,,"Hernandez, Thompson and Winters",SUP5812,Michelle Harris,PM3431,Ryan Mullins,,,,,31047,,03/03/2023,Medium,Japan,Alejandrostad,Completed,Medium
PRJ2027-425,COMP64727,PROJ8018,ORG42752,,LVL2,IT Consulting,CRM Implementation,,,,Small Business,,11/05/2024,ACC391,SUP5109,,,,,,,,"Webb, Oliver and Miller",SUP1050,Thomas Arnold,PM2681,Donna Evans,,,,,32368,,,Medium,Germany,Matthewport,Completed,Low
PRJ2024-613,COMP86886,PROJ7370,ORG35378,,LVL3,Software Development,Database Migration,,,,Enterprise,26/12/2025,03/12/2024,ACC840,SUP4993,,,,,,,,Hart Group,SUP8486,Lee George,PM2985,Kristine Woods,,,,,31378,,28/12/2025,Low,Germany,Harveyburgh,Completed,Medium
PRJ2025-604,COMP80523,PROJ6065,ORG71701,,LVL2,IT Consulting,Web Application Development,,,,Small Business,19/07/2026,22/11/2024,ACC636,SUP1343,,,,,,,,Jones Group,SUP1409,Bradley Lopez,PM7135,Adam Martin,,,,,44426,,26/07/2026,High,Germany,Lake Robertoshire,Completed,High
PRJ2022-707,COMP74637,PROJ1006,ORG82513,,LVL1,IT Consulting,Mobile App Development,,,,Enterprise,,10/09/2023,ACC523,SUP3683,,,,,,,,Waters-Holmes,SUP4136,Todd Gordon,PM8153,Ashley Clayton,,,,,42835,,,Medium,UK,North Philip,In Progress,High
PRJ2025-437,COMP66240,PROJ4038,ORG30164,,LVL1,IT Consulting,Managed Helpdesk Services,,,,Enterprise,29/05/2023,26/01/2023,ACC130,SUP5596,,,,,,,,Walter-Johnson,SUP4572,Cheyenne Hernandez,PM4342,Mark Weaver,,,,,14803,,16/06/2023,Medium,Germany,Lake Sarah,Completed,Medium
PRJ2023-902,COMP44426,PROJ9414,ORG19675,,LVL2,IT Infrastructure,CRM Implementation,,,,Enterprise,29/04/2025,26/01/2023,ACC677,SUP2991,,,,,,,,Riggs PLC,SUP4810,Christopher Reese,PM8311,Chase Murphy,,,,,24288,,25/05/2025,Low,USA,New Lisa,Completed,Medium
PRJ2026-275,COMP93236,PROJ4046,ORG30683,,LVL2,IT Consulting,IT Audit and Compliance,,,,Small Business,02/10/2023,17/03/2023,ACC714,SUP8162,,,,,,,,Contreras-Stephens,SUP3837,Matthew Pace,PM5158,Marvin Garcia,,,,,37939,,02/10/2023,Medium,Australia,North Leahburgh,Completed,Medium
PRJ2025-658,COMP99301,PROJ8498,ORG20456,,LVL1,Software Development,Database Migration,,,,Enterprise,13/10/2024,28/03/2023,ACC301,SUP4607,,,,,,,,"Davis, Norton and Willis",SUP3510,Scott Caldwell,PM6960,Theresa Martin,,,,,42692,,28/10/2024,High,Australia,East Mollyland,Completed,Low
PRJ2026-859,COMP95607,PROJ9907,ORG31391,,LVL2,IT Infrastructure,Network Troubleshooting & Support,,,,Small Business,10/04/2026,04/04/2024,ACC255,SUP8195,,,,,,,,Mckee-Perkins,SUP1608,James Gomez,PM9140,Amanda Lewis,,,,,22045,,03/05/2026,High,France,North Brendaview,In Progress,Low
